file,dayGanzhi,ju,wantSan,gotSan,wantKe,gotKe,gotKeNorm,orderUsed,kind,note,ganShang,reason
"ju/0006-戊辰.txt","戊辰","7","巳亥巳","亥巳亥","亥/戊 巳/亥 戌/辰 辰/戌","亥/戊 巳/亥 戌/辰 辰/戌","亥/戊 巳/亥 戌/辰 辰/戌","as-is","涉害课","多处贼克且比用无法区分，按孟→仲→季取发用","亥",""
"ju/0025-丁亥.txt","丁亥","1","亥未丑","亥亥巳","未/丁 未/未 亥/亥 亥/亥","未/丁 未/未 亥/亥 亥/亥","未/丁 未/未 亥/亥 亥/亥","as-is","伏吟课","伏吟无克：不取遥克，阳干上/阴支上为初传","未",""
"ju/0035-丁酉.txt","丁酉","1","酉未丑","酉酉卯","未/丁 未/未 酉/酉 酉/酉","未/丁 未/未 酉/酉 酉/酉","未/丁 未/未 酉/酉 酉/酉","as-is","伏吟课","伏吟无克：不取遥克，阳干上/阴支上为初传","未",""
"ju/0036-戊戌.txt","戊戌","7","巳亥巳","亥巳亥","亥/戊 巳/亥 辰/戌 戌/辰","亥/戊 巳/亥 辰/戌 戌/辰","亥/戊 巳/亥 辰/戌 戌/辰","as-is","涉害课","多处贼克且比用无法区分，按孟→仲→季取发用","亥",""
"ju/0037-己亥.txt","己亥","1","亥未丑","亥亥巳","未/己 未/未 亥/亥 亥/亥","未/己 未/未 亥/亥 亥/亥","未/己 未/未 亥/亥 亥/亥","as-is","伏吟课","伏吟无克：不取遥克，阳干上/阴支上为初传","未",""
"ju/0045-丁未.txt","丁未","2","卯午午","亥午午","午/丁 巳/午 午/未 巳/午","午/丁 巳/午 午/未 巳/午","午/丁 巳/午 午/未 巳/午","as-is","别责课","别责：阴日取支前三合为初传，中末取干上神","午",""
"ju/0045-丁未.txt","丁未","3","丑巳巳","亥巳巳","巳/丁 卯/巳 巳/未 卯/巳","巳/丁 卯/巳 巳/未 卯/巳","巳/丁 卯/巳 巳/未 卯/巳","as-is","别责课","别责：阴日取支前三合为初传，中末取干上神","巳",""
"ju/0047-己酉.txt","己酉","1","酉未丑","酉酉卯","未/己 未/未 酉/酉 酉/酉","未/己 未/未 酉/酉 酉/酉","未/己 未/未 酉/酉 酉/酉","as-is","伏吟课","伏吟无克：不取遥克，阳干上/阴支上为初传","未",""
"ju/0049-辛亥.txt","辛亥","1","亥戌未","亥亥巳","戌/辛 戌/戌 亥/亥 亥/亥","戌/辛 戌/戌 亥/亥 亥/亥","戌/辛 戌/戌 亥/亥 亥/亥","as-is","伏吟课","伏吟无克：不取遥克，阳干上/阴支上为初传","戌",""
"ju/0057-己未.txt","己未","2","卯午午","亥午午","午/己 巳/午 午/未 巳/午","午/己 巳/午 午/未 巳/午","午/己 巳/午 午/未 巳/午","as-is","别责课","别责：阴日取支前三合为初传，中末取干上神","午",""
"ju/0057-己未.txt","己未","12","未申申","亥申申","申/己 酉/申 申/未 酉/申","申/己 酉/申 申/未 酉/申","申/己 酉/申 申/未 酉/申","as-is","别责课","别责：阴日取支前三合为初传，中末取干上神","申",""
"ju/0058-庚申.txt","庚申","12","亥酉酉","巳酉酉","酉/庚 戌/酉 酉/申 戌/酉","酉/庚 戌/酉 酉/申 戌/酉","酉/庚 戌/酉 酉/申 戌/酉","as-is","别责课","别责：阳日取干合上神为初传，中末取干上神","酉",""
"ju/0059-辛酉.txt","辛酉","1","酉戌未","酉酉卯","戌/辛 戌/戌 酉/酉 酉/酉","戌/辛 戌/戌 酉/酉 酉/酉","戌/辛 戌/戌 酉/酉 酉/酉","as-is","伏吟课","伏吟无克：不取遥克，阳干上/阴支上为初传","戌",""